    Universidad de Costa Rica   
       Proyecto Eléctrico       
         II Ciclo 2017          
          openHand_Both_Soro.csv        
 Author: Pablo Avila B30724     

 Media:
 Max Deviation:
 Standar Deviation:

,LEFT HAND:, , , , , , , , , , , , , , , , , , , , RIGHT HAND:
,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky, , , ,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky
,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,
Left Hand,58.597,53.9241,63.6186,80.5989,22.042,49.4397,78.4381,97.1357,12.8613,47.2035,83.6006,106.033,20.2877,43.0997,75.625,97.0956,33.6997,45.8309,65.2515,80.1879,55.6016,49.8832,62.8537,83.2063,20.9152,46.7514,74.1899,91.8975,12.2039,44.7717,79.2894,100.506,19.2506,41.26,72.3076,92.7353,31.977,43.5069,61.9705,76.191,
Left Hand,58.597,53.9159,63.6008,80.5802,22.042,49.4407,78.4397,97.137,12.8613,47.2029,83.5994,106.032,20.2877,43.0939,75.6149,97.0822,33.6997,45.829,65.2474,80.1818,55.6016,49.9068,62.9129,83.2778,20.9152,46.7517,74.1903,91.898,12.2039,44.7708,79.2879,100.505,19.2506,41.2573,72.303,92.7294,31.977,43.5029,61.9631,76.1825,
Left Hand,58.597,53.9077,63.5798,80.5556,22.042,49.4438,78.444,97.1407,12.8613,47.2026,83.5989,106.031,20.2877,43.0899,75.6078,97.0724,33.6997,45.8294,65.2479,80.1818,55.6016,49.9657,63.0564,83.4477,20.9152,46.7516,74.19,91.8976,12.2039,44.7701,79.2871,100.504,19.2506,41.2531,72.2965,92.7221,31.977,43.4995,61.957,76.1753,
Left Hand,58.597,53.8924,63.5438,80.5148,22.042,49.4477,78.4497,97.146,12.8613,47.2027,83.5989,106.031,20.2877,43.0894,75.607,97.0714,33.6997,45.8291,65.2467,80.1791,55.6016,49.9879,63.1108,83.5126,20.9152,46.752,74.1906,91.8982,12.2039,44.7696,79.2862,100.503,19.2506,41.2462,72.2859,92.71,31.977,43.4921,61.9435,76.1595,
Left Hand,58.597,53.8782,63.5105,80.4776,22.042,49.4497,78.4528,97.1491,12.8613,47.2026,83.5988,106.031,20.2877,43.0831,75.5963,97.0576,33.6997,45.8284,65.2449,80.1758,55.6016,50.0122,63.1683,83.5801,20.9152,46.7533,74.1924,91.9001,12.2039,44.769,79.2855,100.503,19.2506,41.2389,72.2751,92.6985,31.977,43.4865,61.9334,76.1479,
Left Hand,58.597,53.8667,63.4849,80.4504,22.0419,49.4507,78.4542,97.1501,12.8613,47.2026,83.5988,106.03,20.2877,43.0794,75.5902,97.0502,33.6997,45.828,65.2436,80.1735,55.6016,50.0431,63.2425,83.6676,20.9152,46.7534,74.1926,91.9005,12.2039,44.7689,79.2854,100.503,19.2506,41.2333,72.2669,92.6899,31.977,43.4782,61.9185,76.131,
Left Hand,58.597,53.8539,63.4553,80.4159,22.042,49.4514,78.4552,97.1511,12.8613,47.2025,83.5986,106.03,20.2877,43.0781,75.588,97.0475,33.6997,45.8264,65.2404,80.169,55.6016,50.0732,63.3152,83.7538,20.9152,46.7534,74.1926,91.9007,12.2039,44.769,79.2855,100.503,19.2506,41.2272,72.258,92.6809,31.977,43.4734,61.9104,76.1227,
Left Hand,58.597,53.8482,63.4379,80.3924,22.042,49.4529,78.4576,97.1536,12.8613,47.2022,83.5982,106.03,20.2877,43.0781,75.588,97.0475,33.6997,45.825,65.2375,80.165,55.6016,50.0992,63.3789,83.8296,20.9152,46.7534,74.1925,91.9009,12.2039,44.7689,79.2854,100.504,19.2506,41.219,72.2461,92.6685,31.977,43.4694,61.9035,76.1154,
Left Hand,58.597,53.8427,63.4249,80.377,22.042,49.4535,78.4586,97.1546,12.8613,47.2019,83.5977,106.029,20.2877,43.0657,75.5679,97.0228,33.6997,45.8236,65.2348,80.1612,55.6016,50.1351,63.4659,83.9329,20.9152,46.7536,74.193,91.902,12.2039,44.769,79.2853,100.504,19.2506,41.2139,72.239,92.6615,31.977,43.4639,61.8943,76.1061,
Left Hand,58.597,53.8377,63.4134,80.3635,22.042,49.4544,78.4599,97.1561,12.8613,47.2006,83.5957,106.027,20.2877,43.0661,75.5682,97.0228,33.6997,45.8216,65.2306,80.1551,55.6016,50.1637,63.5372,84.0185,20.9152,46.7541,74.1938,91.9035,12.2039,44.769,79.2851,100.504,19.2506,41.2081,72.2305,92.6525,31.977,43.457,61.8824,76.0937,
Left Hand,58.597,53.8337,63.4037,80.3529,22.042,49.4548,78.4606,97.1568,12.8613,47.2001,83.5947,106.025,20.2877,43.0634,75.5637,97.017,33.6997,45.8205,65.2279,80.1508,55.6016,50.1852,63.5905,84.0824,20.9152,46.7549,74.1951,91.9054,12.2039,44.7689,79.2847,100.504,19.2506,41.2011,72.2203,92.642,31.977,43.4519,61.8739,76.0851,
Left Hand,58.597,53.8318,63.3991,80.3466,22.042,49.4554,78.4615,97.1577,12.8613,47.1996,83.5937,106.024,20.2877,43.0637,75.564,97.0172,33.6997,45.8186,65.2239,80.1449,55.6016,50.2142,63.6605,84.1652,20.9152,46.7554,74.196,91.9068,12.2039,44.7685,79.284,100.503,19.2506,41.1957,72.2125,92.6345,31.977,43.4472,61.8662,76.078,
Left Hand,58.597,53.8305,63.3965,80.3439,22.042,49.4559,78.4623,97.1586,12.8613,47.1988,83.592,106.021,20.2877,43.0639,75.5642,97.0174,33.6997,45.8184,65.2231,80.1431,55.6016,50.2423,63.728,84.245,20.9152,46.7564,74.1976,91.9091,12.2039,44.7675,79.2826,100.503,19.2506,41.1922,72.2075,92.6293,31.977,43.444,61.8611,76.0736,
Left Hand,58.597,53.829,63.3938,80.3416,22.042,49.4562,78.4627,97.159,12.8613,47.1988,83.592,106.021,20.2877,43.0626,75.5617,97.0136,33.6997,45.8187,65.2234,80.1429,55.6016,50.2696,63.7913,84.3184,20.9152,46.757,74.1987,91.911,12.2039,44.7666,79.2812,100.502,19.2506,41.1917,72.2068,92.6284,31.977,43.4406,61.8552,76.0673,
Left Hand,58.597,53.8245,63.3851,80.3345,22.042,49.4552,78.4611,97.157,12.8613,47.1963,83.5879,106.016,20.2877,43.0642,75.5638,97.0152,33.6997,45.8179,65.2215,80.1398,55.6016,50.3007,63.8685,84.4108,20.9152,46.7583,74.2008,91.9142,12.2039,44.7653,79.2792,100.5,19.2506,41.1894,72.2033,92.6244,31.977,43.4347,61.845,76.0567,
Left Hand,58.597,53.8229,63.3822,80.3328,22.042,49.4548,78.4604,97.1563,12.8613,47.1955,83.5868,106.015,20.2877,43.0634,75.5623,97.0132,33.6997,45.8178,65.2212,80.1392,55.6016,50.3091,63.8898,84.4365,20.9152,46.7588,74.2015,91.9153,12.2039,44.7649,79.2785,100.5,19.2506,41.1891,72.2027,92.6237,31.977,43.4333,61.8427,76.0544,
Left Hand,58.597,53.8187,63.3756,80.3326,22.042,49.4536,78.4584,97.154,12.8613,47.1938,83.5838,106.011,20.2877,43.0628,75.5612,97.0117,33.6997,45.8167,65.2191,80.1365,55.6016,50.3133,63.9015,84.4512,20.9152,46.7595,74.2026,91.9168,12.2039,44.7634,79.2763,100.498,19.2506,41.1876,72.2004,92.6213,31.977,43.4297,61.836,76.0465,
Left Hand,58.597,53.8109,63.3649,80.3333,22.042,49.4516,78.4552,97.1505,12.8613,47.1926,83.5818,106.008,20.2877,43.0601,75.5566,97.0058,33.6997,45.8152,65.2162,80.1326,55.6016,50.3131,63.9013,84.451,20.9152,46.7618,74.2061,91.9205,12.2039,44.7619,79.2741,100.496,19.2506,41.1874,72.1999,92.6203,31.977,43.4253,61.828,76.0371,
Left Hand,58.597,53.806,63.3594,80.3351,22.042,49.4496,78.452,97.1471,12.8613,47.191,83.5793,106.005,20.2877,43.0521,75.5442,96.9918,33.6997,45.8132,65.2122,80.1276,55.6016,50.3082,63.8915,84.4407,20.9152,46.764,74.2094,91.9245,12.2039,44.7613,79.2732,100.496,19.2506,41.1858,72.1971,92.6165,31.977,43.4235,61.8249,76.0335,
Left Hand,58.597,53.8051,63.3617,80.345,22.042,49.4472,78.448,97.1426,12.8613,47.19,83.5777,106.003,20.2877,43.0447,75.5332,96.9797,33.6997,45.8118,65.2098,80.1249,55.6016,50.3027,63.8806,84.4289,20.9152,46.7654,74.2118,91.9276,12.2039,44.7609,79.2728,100.497,19.2506,41.186,72.197,92.6156,31.977,43.422,61.8222,76.0306,
Left Hand,58.597,53.803,63.3617,80.3516,22.042,49.444,78.4428,97.1367,12.8613,47.1889,83.5761,106.001,20.2877,43.039,75.5241,96.9688,33.6997,45.81,65.2065,80.121,55.6016,50.2956,63.8656,84.4126,20.9152,46.7675,74.2152,91.9318,12.2039,44.7607,79.2725,100.497,19.2506,41.1857,72.196,92.6139,31.977,43.4212,61.8206,76.0287,
Left Hand,58.597,53.8011,63.36,80.3534,22.042,49.4414,78.4385,97.1318,12.8613,47.1882,83.575,106,20.2877,43.0357,75.519,96.963,33.6997,45.8062,65.1994,80.1124,55.6016,50.2839,63.8399,84.3837,20.9152,46.7684,74.2166,91.9336,12.2039,44.7606,79.2725,100.497,19.2506,41.1851,72.1945,92.6111,31.977,43.4202,61.8188,76.0265,
Left Hand,58.597,53.8002,63.3577,80.3523,22.042,49.4408,78.4375,97.1306,12.8613,47.1875,83.574,105.999,20.2877,43.0341,75.5168,96.9611,33.6997,45.8054,65.1977,80.11,55.6016,50.2644,63.7942,84.3303,20.9152,46.7698,74.2187,91.9361,12.2039,44.7605,79.2724,100.497,19.2506,41.1848,72.1937,92.6096,31.977,43.4195,61.8174,76.0246,
Left Hand,58.597,53.7995,63.3532,80.347,22.042,49.4396,78.4356,97.1284,12.8613,47.1864,83.5722,105.997,20.2877,43.0348,75.5183,96.9634,33.6997,45.8028,65.1932,80.1051,55.6016,50.2574,63.7782,84.312,20.9152,46.7707,74.2201,91.938,12.2039,44.7604,79.2724,100.498,19.2506,41.1863,72.1953,92.6104,31.977,43.4196,61.8173,76.0238,
Left Hand,58.597,53.7973,63.3456,80.3398,22.042,49.4388,78.4343,97.127,12.8613,47.1851,83.5702,105.995,20.2877,43.0348,75.5184,96.9638,33.6997,45.8,65.1884,80.1002,55.6016,50.2465,63.7534,84.2837,20.9152,46.7709,74.2205,91.9387,12.2039,44.7606,79.2727,100.498,19.2506,41.1878,72.1971,92.6112,31.977,43.42,61.8177,76.0236,
Left Hand,58.597,53.7927,63.3298,80.3223,22.042,49.4379,78.4326,97.1247,12.8613,47.1844,83.5694,105.994,20.2877,43.0347,75.5182,96.9637,33.6997,45.7979,65.1849,80.0967,55.6016,50.2413,63.7425,84.2718,20.9152,46.7714,74.2213,91.9397,12.2039,44.7607,79.273,100.499,19.2506,41.1883,72.1975,92.6112,31.977,43.4204,61.8183,76.024,
Left Hand,58.597,53.7863,63.313,80.3051,22.042,49.4357,78.4287,97.12,12.8613,47.1832,83.5673,105.991,20.2877,43.0339,75.5174,96.9635,33.6997,45.7957,65.1811,80.0924,55.6016,50.236,63.7308,84.2585,20.9152,46.7716,74.2217,91.9405,12.2039,44.7607,79.2732,100.5,19.2506,41.1888,72.198,92.6113,31.977,43.4206,61.8183,76.0235,
