    Universidad de Costa Rica   
       Proyecto Eléctrico       
         II Ciclo 2017          
          openHand_Left.csv        
 Author: Pablo Avila B30724     

 Media:
 Max Deviation:
 Standar Deviation:

,LEFT HAND:, , , , , , , , , , , , , , , , , , , , RIGHT HAND:
,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky, , , ,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky
,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,
,56.8934,55.6346,74.7218,97.5609,21.4011,47.5856,75.4687,93.527,12.4874,45.2028,80.2181,101.867,19.6978,41.4248,72.7555,93.4856,32.7199,43.6022,61.7591,76.0731,
,56.8934,55.6364,74.7253,97.5647,21.4011,47.5848,75.4673,93.5252,12.4874,45.2027,80.218,101.867,19.6978,41.4254,72.7562,93.4859,32.7199,43.602,61.7582,76.0708,
,56.8934,55.6548,74.7673,97.6125,21.4011,47.5833,75.4648,93.5223,12.4874,45.2028,80.2185,101.868,19.6978,41.4267,72.7576,93.4865,32.7199,43.6032,61.7597,76.0716,
,56.8934,55.6714,74.8039,97.6542,21.4011,47.5799,75.4591,93.5158,12.4874,45.2033,80.2194,101.87,19.6978,41.4275,72.7582,93.4865,32.7199,43.6032,61.7592,76.0701,
,56.8934,55.6807,74.823,97.6757,21.4011,47.5787,75.4572,93.5137,12.4874,45.2042,80.2208,101.872,19.6978,41.4271,72.7572,93.4847,32.7199,43.6027,61.7577,76.0671,
,56.8934,55.6923,74.8513,97.7098,21.4011,47.578,75.4561,93.5124,12.4874,45.2031,80.2196,101.871,19.6978,41.4281,72.7583,93.4853,32.7199,43.6024,61.7572,76.0664,
,56.8934,55.6912,74.8507,97.7111,21.4011,47.5769,75.4542,93.5102,12.4874,45.2015,80.2173,101.868,19.6978,41.428,72.7579,93.4845,32.7199,43.6009,61.7541,76.0622,
,56.8934,55.6879,74.8439,97.7046,21.4011,47.576,75.4528,93.5087,12.4874,45.1992,80.2141,101.865,19.6978,41.4235,72.7509,93.4765,32.7199,43.5979,61.7481,76.054,
,56.8934,55.7132,74.8985,97.7656,21.4011,47.5752,75.4515,93.5074,12.4874,45.1987,80.2133,101.864,19.6978,41.4222,72.7492,93.475,32.7199,43.5965,61.7453,76.0505,
,56.8934,55.7508,74.9844,97.8638,21.4011,47.5741,75.4496,93.5053,12.4874,45.1981,80.2126,101.864,19.6978,41.4225,72.7495,93.475,32.7199,43.5965,61.7456,76.0516,
,56.8934,55.7571,74.9986,97.8801,21.4011,47.5742,75.4498,93.5056,12.4874,45.1971,80.2113,101.863,19.6978,41.4221,72.7489,93.4744,32.7199,43.5956,61.744,76.0497,
,56.8934,55.7662,75.0198,97.904,21.4011,47.5742,75.4499,93.5057,12.4874,45.1968,80.2109,101.862,19.6978,41.4214,72.7479,93.4736,32.7199,43.5965,61.7457,76.0519,
,56.8934,55.7736,75.0355,97.9211,21.4011,47.5728,75.4478,93.5035,12.4874,45.1965,80.2105,101.862,19.6978,41.4197,72.7458,93.4718,32.7199,43.5936,61.7402,76.0449,
,56.8934,55.7772,75.0419,97.9274,21.4011,47.5719,75.4463,93.5019,12.4874,45.1955,80.2092,101.861,19.6978,41.4161,72.7407,93.4666,32.7199,43.5932,61.7398,76.0452,
,56.8934,55.779,75.0462,97.932,21.4011,47.5718,75.4461,93.5017,12.4874,45.1944,80.2078,101.86,19.6978,41.415,72.739,93.4648,32.7199,43.5925,61.7389,76.0451,
,56.8934,55.7798,75.0479,97.9337,21.4011,47.5694,75.4421,93.4971,12.4874,45.1938,80.2069,101.859,19.6978,41.4148,72.7387,93.4646,32.7199,43.5922,61.739,76.0461,
,56.8934,55.7901,75.0682,97.9546,21.4011,47.5684,75.4404,93.4949,12.4874,45.1936,80.2067,101.859,19.6978,41.4148,72.7388,93.4647,32.7199,43.5928,61.7403,76.0481,
,56.8934,55.7907,75.0687,97.9545,21.4011,47.5679,75.4395,93.4938,12.4874,45.1935,80.2066,101.858,19.6978,41.4125,72.7355,93.4616,32.7199,43.5936,61.7419,76.0505,
,56.8934,55.7874,75.0594,97.9429,21.4011,47.5666,75.4371,93.4909,12.4874,45.1934,80.2064,101.858,19.6978,41.4094,72.7311,93.457,32.7199,43.5935,61.7421,76.0513,
,56.8934,55.7934,75.0711,97.9554,21.4011,47.5654,75.435,93.4883,12.4874,45.1932,80.2062,101.858,19.6978,41.4066,72.7273,93.4534,32.7199,43.5937,61.7425,76.052,
,56.8934,55.7937,75.0706,97.9545,21.4011,47.5649,75.4341,93.487,12.4874,45.1908,80.2024,101.854,19.6978,41.3993,72.7167,93.4426,32.7199,43.5935,61.7423,76.052,
,56.8934,55.7954,75.0739,97.958,21.4011,47.5646,75.4336,93.4863,12.4874,45.1902,80.2018,101.853,19.6978,41.3988,72.7164,93.443,32.7199,43.5916,61.7394,76.0496,
,56.8934,55.7907,75.063,97.9456,21.4011,47.5634,75.4315,93.4838,12.4874,45.1888,80.1998,101.851,19.6978,41.3942,72.71,93.4366,32.7199,43.5915,61.7393,76.0496,
,56.8934,55.791,75.0633,97.9459,21.4011,47.5632,75.4313,93.4835,12.4874,45.1886,80.1995,101.851,19.6978,41.3922,72.707,93.4336,32.7199,43.5912,61.7388,76.0492,
,56.8934,55.7891,75.0591,97.9408,21.4011,47.5633,75.4313,93.4834,12.4874,45.1884,80.1994,101.851,19.6978,41.3917,72.7063,93.4329,32.7199,43.5902,61.7372,76.0477,
,56.8934,55.7895,75.0606,97.9427,21.4011,47.5637,75.4319,93.4842,12.4874,45.1882,80.1992,101.851,19.6978,41.3909,72.7049,93.4311,32.7199,43.589,61.7349,76.0452,
,56.8934,55.7893,75.0602,97.9422,21.4011,47.5638,75.4322,93.4846,12.4874,45.1876,80.1987,101.851,19.6978,41.3898,72.7036,93.4299,32.7199,43.5882,61.7339,76.0445,
,56.8934,55.8044,75.0927,97.978,21.4011,47.563,75.4311,93.4836,12.4874,45.1874,80.1985,101.851,19.6978,41.3896,72.7033,93.4298,32.7199,43.5869,61.7319,76.0429,
,56.8934,55.8151,75.1149,98.0029,21.4011,47.5613,75.4286,93.4814,12.4874,45.1873,80.1984,101.851,19.6978,41.3863,72.6983,93.4243,32.7199,43.5867,61.7314,76.0423,
,56.8934,55.8074,75.0969,97.9821,21.4011,47.5598,75.4264,93.4793,12.4874,45.1879,80.1994,101.853,19.6978,41.3799,72.6888,93.414,32.7199,43.5859,61.7296,76.0393,
,56.8934,55.8111,75.1061,97.9933,21.4011,47.5579,75.4233,93.4762,12.4874,45.1877,80.1992,101.853,19.6978,41.3778,72.6855,93.4102,32.7199,43.5851,61.728,76.0371,
,56.8934,55.8137,75.1116,97.9994,21.4011,47.5565,75.4208,93.4729,12.4874,45.1875,80.1991,101.853,19.6978,41.374,72.6798,93.404,32.7199,43.5852,61.7281,76.0373,
,56.8934,55.8145,75.1129,98.0007,21.4011,47.5551,75.4184,93.4699,12.4874,45.187,80.1982,101.851,19.6978,41.3707,72.6749,93.3985,32.7199,43.584,61.7262,76.0354,
,56.8934,55.8478,75.1802,98.0731,21.4011,47.5539,75.4164,93.4677,12.4874,45.1867,80.1977,101.851,19.6978,41.3691,72.6725,93.3959,32.7199,43.5826,61.7237,76.0328,
,56.8934,55.8699,75.2254,98.1229,21.4011,47.554,75.4162,93.4668,12.4874,45.1855,80.196,101.849,19.6978,41.3667,72.6686,93.3914,32.7199,43.5811,61.721,76.0299,
,56.8934,55.8684,75.2215,98.1184,21.4011,47.5539,75.4157,93.4659,12.4874,45.182,80.1913,101.844,19.6978,41.3582,72.6544,93.3736,32.7199,43.578,61.7155,76.0235,
,56.8934,55.8718,75.2278,98.1251,21.4011,47.5541,75.4157,93.4656,12.4874,45.1819,80.1911,101.844,19.6978,41.3542,72.648,93.366,32.7199,43.5764,61.7125,76.02,
