    Universidad de Costa Rica   
       Proyecto Eléctrico       
         II Ciclo 2017          
          openHand_Right.csv        
 Author: Pablo Avila B30724     

 Media:
 Max Deviation:
 Standar Deviation:

,LEFT HAND:, , , , , , , , , , , , , , , , , , , , RIGHT HAND:
,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky, , , ,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky
,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.6895,75.024,95.451,21.7481,48.5706,77.0605,95.4869,12.6899,46.4818,82.3405,104.444,20.0172,42.5395,74.6078,95.7412,33.2505,45.0727,64.1294,78.8531,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.6829,75.0091,95.4366,21.7481,48.5703,77.0603,95.487,12.6899,46.4823,82.3415,104.445,20.0172,42.543,74.6137,95.7488,33.2505,45.0746,64.1336,78.8597,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.677,74.9949,95.4187,21.7481,48.5703,77.0604,95.4872,12.6899,46.4823,82.3417,104.445,20.0172,42.5447,74.6163,95.7517,33.2504,45.0772,64.1383,78.865,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.6687,74.9781,95.3986,21.7481,48.5706,77.0608,95.4877,12.6899,46.4833,82.3434,104.448,20.0172,42.5475,74.6213,95.7582,33.2505,45.0792,64.1416,78.868,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.6583,74.9567,95.3721,21.7481,48.5713,77.062,95.489,12.6899,46.4852,82.3462,104.451,20.0172,42.5513,74.6272,95.7651,33.2505,45.0805,64.1438,78.8706,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.649,74.9363,95.3429,21.7481,48.5716,77.0624,95.4894,12.6899,46.487,82.3489,104.454,20.0172,42.5555,74.6333,95.7713,33.2505,45.0809,64.1445,78.871,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.6435,74.929,95.3368,21.7481,48.5721,77.0633,95.4904,12.6899,46.4874,82.3495,104.455,20.0172,42.559,74.6391,95.7785,33.2505,45.0818,64.1457,78.8718,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.6332,74.9099,95.3152,21.7481,48.5727,77.0643,95.4916,12.6899,46.4887,82.3517,104.457,20.0172,42.5597,74.6401,95.7794,33.2505,45.0832,64.1479,78.8736,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.6262,74.9035,95.3187,21.7481,48.5731,77.065,95.4925,12.6899,46.49,82.3539,104.46,20.0172,42.5638,74.6466,95.7873,33.2505,45.0833,64.1481,78.8737,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.6112,74.8753,95.2843,21.7481,48.5722,77.0638,95.4917,12.6899,46.4909,82.3555,104.463,20.0172,42.5638,74.6467,95.7872,33.2505,45.0834,64.1482,78.8736,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.6077,74.8706,95.2827,21.7481,48.5724,77.0642,95.4924,12.6899,46.4916,82.357,104.465,20.0172,42.5652,74.6486,95.7891,33.2505,45.0834,64.1479,78.8727,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.6084,74.8756,95.2956,21.7481,48.5724,77.0643,95.4925,12.6899,46.492,82.3577,104.466,20.0172,42.5679,74.6524,95.7926,33.2505,45.0833,64.1477,78.8724,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.6119,74.8831,95.3066,21.7481,48.5725,77.0646,95.4929,12.6899,46.492,82.3579,104.467,20.0172,42.569,74.6545,95.7957,33.2504,45.0833,64.1476,78.872,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.6141,74.8855,95.306,21.7481,48.5724,77.0645,95.4929,12.6899,46.4916,82.3577,104.467,20.0172,42.5673,74.6525,95.7945,33.2505,45.0834,64.1477,78.8722,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.6328,74.9178,95.3334,21.7481,48.5724,77.0643,95.4928,12.6899,46.4912,82.3576,104.468,20.0172,42.5668,74.6518,95.794,33.2505,45.0833,64.1476,78.8719,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.6657,74.9763,95.3882,21.7481,48.5723,77.0643,95.4927,12.6899,46.4897,82.3558,104.467,20.0172,42.5672,74.6526,95.7952,33.2505,45.0829,64.1467,78.8708,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.682,75.0049,95.4099,21.7481,48.5723,77.0643,95.4927,12.6899,46.4892,82.3553,104.467,20.0172,42.5719,74.6604,95.8047,33.2504,45.0824,64.1456,78.8692,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.7029,75.0458,95.4441,21.7481,48.5723,77.0643,95.4927,12.6899,46.4887,82.3547,104.466,20.0172,42.5718,74.6587,95.8005,33.2505,45.0818,64.1438,78.8658,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.7134,75.0631,95.4502,21.7481,48.5724,77.0644,95.4928,12.6899,46.4885,82.3544,104.466,20.0172,42.5713,74.6572,95.7976,33.2505,45.0812,64.1424,78.863,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.7306,75.0952,95.4734,21.7481,48.5728,77.065,95.4935,12.6899,46.4885,82.3543,104.466,20.0172,42.5709,74.6558,95.7947,33.2505,45.0815,64.1426,78.8631,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.7517,75.1347,95.4971,21.7481,48.5735,77.066,95.4945,12.6899,46.4884,82.3543,104.466,20.0172,42.5712,74.6552,95.7921,33.2505,45.0813,64.1421,78.862,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.769,75.1631,95.5092,21.7481,48.574,77.0668,95.4953,12.6899,46.488,82.3535,104.465,20.0172,42.5719,74.655,95.79,33.2505,45.0818,64.1429,78.8627,
, , , , , , , , , , , , , , , , , , , , ,57.8158,56.7816,75.1837,95.5137,21.7481,48.5742,77.0672,95.4957,12.6899,46.4879,82.3534,104.465,20.0172,42.5697,74.6504,95.7825,33.2505,45.0824,64.1439,78.8634,
