    Universidad de Costa Rica   
       Proyecto Eléctrico       
         II Ciclo 2017          
          openHand_Right_Soro.csv        
 Author: Pablo Avila B30724     

 Media:
 Max Deviation:
 Standar Deviation:

,LEFT HAND:, , , , , , , , , , , , , , , , , , , , RIGHT HAND:
,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky, , , ,Thumb, , , ,Index, , , ,Middle, , , ,Ring, , , ,Pinky
,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,Metacarpal, Proximal, Middle, Distal,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8629,60.9511,72.4115,20.5628,46.126,73.1705,90.595,11.9982,43.8924,77.7468,98.5915,18.9262,40.5315,70.9875,90.9788,31.4382,43.2105,61.6682,75.6802,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8669,60.9624,72.4296,20.5628,46.1262,73.1708,90.5954,11.9982,43.8922,77.7464,98.5911,18.9262,40.5318,70.9878,90.979,31.4382,43.2108,61.6688,75.6808,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8702,60.9708,72.4446,20.5628,46.1266,73.1715,90.5961,11.9982,43.8918,77.7459,98.5906,18.9262,40.5319,70.9879,90.979,31.4382,43.2115,61.6699,75.6819,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8706,60.9723,72.4472,20.5628,46.1272,73.1724,90.5972,11.9982,43.8915,77.7455,98.5902,18.9262,40.5321,70.9882,90.9793,31.4382,43.2121,61.6709,75.6829,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8704,60.972,72.4477,20.5628,46.1275,73.1729,90.5976,11.9982,43.8914,77.7454,98.5901,18.9262,40.5327,70.9891,90.9802,31.4382,43.2126,61.6719,75.6841,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8702,60.9717,72.448,20.5628,46.1276,73.173,90.5977,11.9982,43.8911,77.7449,98.5895,18.9262,40.5332,70.9898,90.9811,31.4382,43.2132,61.6728,75.6851,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8635,60.9577,72.4352,20.5628,46.1276,73.173,90.5977,11.9982,43.8908,77.7445,98.589,18.9262,40.5345,70.9917,90.9832,31.4382,43.2133,61.6731,75.6854,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.859,60.9493,72.4297,20.5628,46.1276,73.173,90.5977,11.9982,43.8904,77.7437,98.588,18.9262,40.5358,70.9937,90.9854,31.4382,43.2139,61.6741,75.6866,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8561,60.9434,72.4251,20.5628,46.1285,73.1744,90.599,11.9982,43.8899,77.743,98.5871,18.9262,40.5375,70.9962,90.9879,31.4382,43.2157,61.6773,75.6903,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8518,60.9357,72.418,20.5628,46.1288,73.1749,90.5996,11.9982,43.8896,77.7425,98.5865,18.9262,40.5381,70.997,90.9888,31.4382,43.2169,61.6795,75.6928,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8493,60.9328,72.4168,20.5628,46.1288,73.1749,90.5996,11.9982,43.8896,77.7424,98.5864,18.9262,40.5388,70.998,90.9897,31.4382,43.2183,61.682,75.6956,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8511,60.9387,72.4255,20.5628,46.1287,73.1746,90.5994,11.9982,43.8894,77.7422,98.5861,18.9262,40.5391,70.9984,90.99,31.4382,43.2191,61.6834,75.6973,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8578,60.9596,72.4656,20.5628,46.1281,73.1737,90.5983,11.9982,43.8891,77.7416,98.5854,18.9262,40.5385,70.9975,90.9891,31.4382,43.2196,61.6843,75.6982,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8596,60.9667,72.4825,20.5628,46.128,73.1736,90.5982,11.9983,43.889,77.7415,98.5854,18.9262,40.5367,70.9945,90.9853,31.4382,43.2204,61.6857,75.6997,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8593,60.9674,72.4871,20.5628,46.1273,73.1725,90.5971,11.9982,43.8888,77.7412,98.5852,18.9262,40.537,70.9951,90.9863,31.4382,43.2221,61.6886,75.7028,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8587,60.9663,72.4868,20.5628,46.1258,73.1702,90.5948,11.9982,43.8886,77.741,98.585,18.9262,40.5381,70.9971,90.9888,31.4382,43.2253,61.6943,75.7094,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8552,60.9583,72.4763,20.5628,46.125,73.169,90.5937,11.9982,43.8888,77.7412,98.5853,18.9262,40.539,70.9984,90.9903,31.4382,43.2281,61.6994,75.7155,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.851,60.9492,72.4662,20.5628,46.1246,73.1684,90.5931,11.9982,43.8888,77.7414,98.5855,18.9262,40.5386,70.9976,90.9893,31.4382,43.2306,61.7039,75.7205,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8467,60.9401,72.4551,20.5628,46.1243,73.1678,90.5925,11.9982,43.8887,77.7411,98.5852,18.9262,40.5387,70.9979,90.9898,31.4382,43.2315,61.7055,75.7224,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8413,60.9292,72.4409,20.5628,46.1243,73.1678,90.5925,11.9982,43.8888,77.7413,98.5853,18.9262,40.5393,70.999,90.9912,31.4382,43.232,61.7064,75.7234,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.838,60.9231,72.4339,20.5628,46.1243,73.1678,90.5925,11.9982,43.8892,77.7419,98.586,18.9262,40.5393,70.999,90.9913,31.4382,43.2323,61.707,75.7242,
, , , , , , , , , , , , , , , , , , , , ,54.6648,52.8337,60.9142,72.4242,20.5628,46.1244,73.1681,90.5929,11.9982,43.8897,77.7425,98.5867,18.9262,40.5388,70.9985,90.991,31.4382,43.2323,61.707,75.7242,
